model,epochs,lr,l2,dropout,dnn_hidden_units,seed,val_auc,val_logloss,val_pr_auc,val_brier,val_infer_time,test_auc,test_logloss,test_pr_auc,test_brier,test_infer_time,train_time
WideDeep,3,0.001,1e-05,0.5,256 128,2025,0.9730120174453146,0.0106940991665326,0.2844504650253681,0.002406830922434,290.5748999118805,0.9710273080553788,0.0108120294764338,0.2784752743677993,0.0024035950472865,250.8102278709412,3747.986852407456
WideDeep,3,0.001,1e-05,0.5,256 128 64,2025,0.9731858585906956,0.0106704050977616,0.2846123976790047,0.0024056094542022,267.2900619506836,0.9713884791477324,0.0107909253854062,0.2762589726235124,0.0024038148556582,281.5337874889374,4033.482144594193
WideDeep,3,0.001,1e-05,0.5,256 128 64 32,2025,0.9731060557663732,0.0106712196550994,0.2858731628126502,0.002404311708047,675.0388855934143,0.9713262854356682,0.0107918838973278,0.2771226862363779,0.0024021821556298,674.146333694458,6848.884835481644
