model,epochs,lr,l2,dropout,dnn_hidden_units,seed,val_auc,val_logloss,val_pr_auc,val_brier,val_infer_time,test_auc,test_logloss,test_pr_auc,test_brier,test_infer_time,train_time
WideDeep,3,0.0005,1e-06,0.3,256 128 64,2025,0.9736867909689207,0.010649331227201023,0.28524995472349257,0.0024052819496396746,32.815874099731445,0.9717464843856547,0.010790883960501062,0.27646456689499044,0.002403804569423535,31.328001737594604,562.0013074874878
WideDeep,3,0.001,1e-06,0.3,256 128 64,2025,0.9737724155514605,0.010649952576020163,0.283810310301071,0.002407105970432304,32.657761573791504,0.9718017650534496,0.010780903230926587,0.27597263735470073,0.002403300996697831,32.33945393562317,520.8542754650116
WideDeep,3,0.002,1e-06,0.3,256 128 64,2025,0.9736495576198125,0.01066418379181103,0.2839764058057948,0.002410147028048884,39.49174427986145,0.971883029029623,0.010788210861082953,0.2757200422517587,0.0024084379617959045,33.2543523311615,523.8954312801361
