model,epochs,lr,l2,dropout,embed_dim,seed,val_auc,val_logloss,val_pr_auc,val_brier,val_infer_time,test_auc,test_logloss,test_pr_auc,test_brier,test_infer_time,train_time
DeepFM,3,0.001,1e-06,0.3,8,2025,0.9630332971071126,0.011746471237073673,0.2262873295517786,0.0025329189113525966,51.17121481895447,0.960302008068748,0.011858567127256393,0.21861687970716637,0.0025233901799006954,49.20358395576477,741.4029643535614
DeepFM,3,0.001,1e-05,0.3,8,2025,0.967669542847845,0.01149917858958904,0.22656994478777043,0.002530283875489828,54.066604137420654,0.9653607199189792,0.011632919989618394,0.21748811131269216,0.0025245677252883447,46.006263256073,774.6927680969238
DeepFM,3,0.001,0.0001,0.3,8,2025,0.968733421554612,0.011334997096174335,0.24317008976294444,0.0025004744077370845,47.54610824584961,0.9667917946712148,0.011463562706957059,0.23136486951904078,0.002499282162188564,47.55204176902771,735.8427755832672
DeepFM,3,0.001,1e-06,0.5,8,2025,0.9661632256281755,0.011547826770874688,0.23196722980394519,0.0025220273540380294,49.508094787597656,0.9644731929489186,0.01165034454828363,0.2231174463577823,0.0025148069675713326,49.61848592758179,731.3287460803986
DeepFM,3,0.001,1e-05,0.5,8,2025,0.9682283483478122,0.011422472420369513,0.23360887867437963,0.002516372842052381,48.76354956626892,0.9659082007347922,0.011552317556589087,0.2228140692178744,0.0025136130908542218,50.01954984664917,752.6843082904816
DeepFM,3,0.001,0.0001,0.5,8,2025,0.9699256112499919,0.011181490505396428,0.25141327945363895,0.0024825003102119775,49.22887659072876,0.9683146850451085,0.01129212056200751,0.24088419148145662,0.0024788159729631737,48.95871329307556,755.4740898609161
DeepFM,3,0.001,1e-06,0.7,8,2025,0.9688860368745611,0.011296521607403435,0.2470220683455864,0.002495970129756193,43.294400691986084,0.9669584775403446,0.011410962460689256,0.23766294156543355,0.002491088423717887,46.22272801399231,696.8959188461304
DeepFM,3,0.001,1e-05,0.7,8,2025,0.9690321249663973,0.011340119643354555,0.24319287265629302,0.0025048951976018945,43.694091796875,0.9674555909215764,0.01142897107574769,0.2341510771982988,0.0024975493620891403,43.25082778930664,705.0957565307617
DeepFM,3,0.001,0.0001,0.7,8,2025,0.9692864562253828,0.011305554293030335,0.2427764646583742,0.002500059941968223,46.869707107543945,0.9673878464838281,0.01142344150959659,0.23210943051983995,0.0024977215027785125,45.70626473426819,729.39745926857
