model,epochs,lr,l2,dropout,dnn_hidden_units,cross_num,seed,val_auc,val_logloss,val_pr_auc,val_brier,val_infer_time,test_auc,test_logloss,test_pr_auc,test_brier,test_infer_time,train_time
DCN,3,0.0005,1e-06,0.5,256 128 64,2,2025,0.9733315771654818,0.010719093281926707,0.27776956346783155,0.0024202914498683134,27.339218378067017,0.9715464081817118,0.010854258211737562,0.2682154066670935,0.002419818544873599,26.2268009185791,408.87380838394165
DCN,3,0.001,1e-06,0.5,256 128 64,2,2025,0.9734867945272236,0.010706651702217634,0.28279623969080914,0.0024158752759077615,26.804030179977417,0.9715435625245018,0.010848959496450986,0.27452420323747495,0.002414975952050125,26.850541353225708,403.02259826660156
DCN,3,0.002,1e-06,0.5,256 128 64,2,2025,0.9718563457618934,0.01091658742997029,0.25558630022908885,0.002463003183035561,26.889402151107788,0.9700752587374959,0.011051692291693309,0.24487862975668018,0.0024622890387204707,25.085570096969604,402.5928235054016
