model,epochs,lr,l2,dropout,embed_dim,seed,val_auc,val_logloss,val_pr_auc,val_brier,val_infer_time,test_auc,test_logloss,test_pr_auc,test_brier,test_infer_time,train_time
FFM,3,0.001,1e-06,0.3,8,2025,0.7969240737930362,0.019139275276776106,0.16008267477427532,0.002721018077906717,30.03235960006714,0.7960913836408229,0.018950500073063665,0.1469963987347729,0.0027273013151852435,29.255308151245117,525.5534176826477
FFM,3,0.001,1e-05,0.3,8,2025,0.817545825361733,0.018776489240347,0.16529675481052214,0.0027415797907782134,27.376319408416748,0.8196027658284076,0.018524916873484377,0.15504923256193295,0.002746115320193257,29.32847571372986,516.7211973667145
FFM,3,0.001,0.0001,0.3,8,2025,0.9493543740838667,0.01231730579429942,0.22095395623985786,0.0025447319891869053,29.40104341506958,0.944868584031582,0.01243672512592037,0.21090006281199292,0.0025410282911889747,26.437382221221924,523.0850298404694
FFM,3,0.001,1e-06,0.5,8,2025,0.7969240737930362,0.019139275276776106,0.16008267477427532,0.002721018077906717,29.435845851898193,0.7960913836408229,0.018950500073063665,0.1469963987347729,0.0027273013151852435,30.403986930847168,509.5047948360443
FFM,3,0.001,1e-05,0.5,8,2025,0.817545825361733,0.018776489240347,0.16529675481052214,0.0027415797907782134,29.843157052993774,0.8196027658284076,0.018524916873484377,0.15504923256193295,0.002746115320193257,29.74509358406067,515.6965148448944
FFM,3,0.001,0.0001,0.5,8,2025,0.9493543740838667,0.01231730579429942,0.22095395623985786,0.0025447319891869053,29.209157705307007,0.944868584031582,0.01243672512592037,0.21090006281199292,0.0025410282911889747,26.74966287612915,520.9608936309814
FFM,3,0.001,1e-06,0.7,8,2025,0.7969240737930362,0.019139275276776106,0.16008267477427532,0.002721018077906717,29.834128856658936,0.7960913836408229,0.018950500073063665,0.1469963987347729,0.0027273013151852435,29.491475820541382,509.6805365085602
FFM,3,0.001,1e-05,0.7,8,2025,0.817545825361733,0.018776489240347,0.16529675481052214,0.0027415797907782134,29.438506841659546,0.8196027658284076,0.018524916873484377,0.15504923256193295,0.002746115320193257,29.278533935546875,513.0455346107483
FFM,3,0.001,0.0001,0.7,8,2025,0.9493543740838667,0.01231730579429942,0.22095395623985786,0.0025447319891869053,26.63525676727295,0.944868584031582,0.01243672512592037,0.21090006281199292,0.0025410282911889747,29.137121200561523,514.7989246845245
