model,epochs,lr,l2,dropout,attention_hidden_size,seed,val_auc,val_logloss,val_pr_auc,val_brier,val_infer_time,test_auc,test_logloss,test_pr_auc,test_brier,test_infer_time,train_time
DIN,3,0.001,1e-05,0.5,32,2025,0.9732836460802267,0.010666505872371342,0.28644494515263885,0.0024044487485842723,214.93925499916077,0.9716466347353362,0.010768443747857643,0.2793478207099624,0.0023998547762260655,216.04074358940125,3423.963418483734
DIN,3,0.001,1e-05,0.5,64,2025,0.9731493509510087,0.010666872216927498,0.2859676292419512,0.002404139925996112,251.22759175300598,0.9716433704099652,0.010766446676791724,0.2794040777912683,0.002399386425681689,242.50934147834778,3387.465142726898
DIN,3,0.001,1e-05,0.5,128,2025,0.973293854649144,0.010668213776879647,0.2869352297849138,0.0024044570756731453,224.96783757209778,0.9714954176860845,0.010766157291257997,0.2795755403645992,0.002399220002409898,232.19213223457336,3583.984426021576
