model,epochs,lr,l2,dropout,attention_hidden_size,seed,val_auc,val_logloss,val_pr_auc,val_brier,val_infer_time,test_auc,test_logloss,test_pr_auc,test_brier,test_infer_time,train_time
DIN,3,0.001,1e-06,0.3,64,2025,0.9741605484603653,0.010625764890256609,0.2862305581896779,0.0024032490385834876,27.666316270828247,0.9722156404514661,0.01074552479326693,0.2787421313180791,0.0024000083754615728,27.633684635162354,420.9551434516907
DIN,3,0.001,1e-05,0.3,64,2025,0.9737552091951349,0.010652677403992172,0.2861492609693611,0.0024028504857138396,24.22652578353882,0.9719952701359112,0.010773807925719426,0.27780515540631895,0.0024029631963551896,27.01768708229065,397.1376962661743
DIN,3,0.001,0.0001,0.3,64,2025,0.9727455556392732,0.010736805797186083,0.28079237363375736,0.0024142484720503124,27.699560165405273,0.9710475591080139,0.010857693927152341,0.27118632807572834,0.002413157049599856,26.76927137374878,397.346275806427
DIN,3,0.001,1e-06,0.5,64,2025,0.9740926079802272,0.010626235055073412,0.28669616019707866,0.0024021134715681743,25.66464400291443,0.9722058429263188,0.01074514024335958,0.27863706646329933,0.002399691628803873,25.875573873519897,405.54443311691284
DIN,3,0.001,1e-05,0.5,64,2025,0.9738049739194027,0.010649514614611737,0.285894789158631,0.00240338102065375,28.11457633972168,0.9719878891684037,0.01077454579913475,0.27813959561936397,0.0024025535961868616,27.969766855239868,394.57070779800415
DIN,3,0.001,0.0001,0.5,64,2025,0.9727526129021448,0.010731510847680436,0.27734744691438734,0.0024134035557664686,28.211859703063965,0.9710534467760764,0.010853880928939892,0.26830642075503197,0.0024127972938857898,28.166604042053223,403.5441291332245
DIN,3,0.001,1e-06,0.7,64,2025,0.9740491389532036,0.010620873189891054,0.28723457652442064,0.002402545493704321,24.33213210105896,0.9721802108740952,0.010744740056598047,0.2788469540827351,0.002401014812620953,27.134681463241577,394.15227246284485
DIN,3,0.001,1e-05,0.7,64,2025,0.9737397908320548,0.010650227798722099,0.28588380762729043,0.0024033147835627548,28.185587882995605,0.9719069954680614,0.01077532617384551,0.2784312252756358,0.0024017864245537888,25.224302530288696,398.70654916763306
DIN,3,0.001,0.0001,0.7,64,2025,0.9726644006125247,0.010735168214763852,0.27685356188657617,0.002415157426001584,28.037281274795532,0.970988067366373,0.010859390780011819,0.26699722237677354,0.0024144027328309014,27.862891674041748,404.2193908691406
