model,epochs,alpha,beta,l1,l2,seed,val_auc,val_logloss,val_pr_auc,val_brier,val_infer_time,test_auc,test_logloss,test_pr_auc,test_brier,test_infer_time,train_time
FTRL,3,0.01,1.0,1.0,1e-05,2025,0.9586868405289576,0.16789137703306115,0.23420292341781512,0.02467704559725496,220.9551112651825,0.9527373808868258,0.16786629265063166,0.2304410831327232,0.024664176245197712,228.05639219284058,3569.852267742157
FTRL,3,0.05,1.0,1.0,1e-05,2025,0.964356981573628,0.02314506545879035,0.2575452185833197,0.002658137773807678,223.58087754249573,0.9600841836446281,0.023150373799887592,0.25231423442861434,0.002644057879715813,227.33276796340942,3557.0216369628906
FTRL,3,0.1,1.0,1.0,1e-05,2025,0.9651489259548119,0.014492677122566638,0.26069179860949826,0.002488581226910502,220.90694665908813,0.961418324482437,0.014518559606505025,0.25517099440255736,0.0024765467311113516,221.27978515625,3528.8695352077484
